DOEID,REGIONC,DIVISION,METROMICRO,UATYP10,TYPEHUQ,KWH,KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,BTUEL,BTUELSPH,BTUELCOL,BTUELWTH,BTUELRFG,BTUELRFG1,BTUELRFG2,BTUELFRZ,BTUELCOK,BTUELMICRO,BTUELCW,BTUELCDR,BTUELDWH,BTUELLGT,BTUELTVREL,BTUELTV1,BTUELTV2,BTUELAHUHEAT,BTUELAHUCOL,BTUELEVAPCOL,BTUELCFAN,BTUELDHUM,BTUELHUM,BTUELPLPMP,BTUELHTBPMP,BTUELHTBHEAT,BTUELNEC,DOLLAREL,DOLELSPH,DOLELCOL,DOLELWTH,DOLELRFG,DOLELRFG1,DOLELRFG2,DOLELFRZ,DOLELCOK,DOLELMICRO,DOLELCW,DOLELCDR,DOLELDWH,DOLELLGT,DOLELTVREL,DOLELTV1,DOLELTV2,DOLELAHUHEAT,DOLELAHUCOL,DOLELEVAPCOL,DOLELCFAN,DOLELDHUM,DOLELHUM,DOLELPLPMP,DOLELHTBPMP,DOLELHTBHEAT,DOLELNEC
13408,3,6,METRO,R,2,32795.242,14009.521,4512.486,4685.118,1088.141,212.419,875.722,0,149.566,50.417,27.468,180.26,0,1041.252,1731.047,491.49,26.634,199.283,251.297,0,916.033,0,0,0,604.813,2161.595,1186.944,111897.366,47800.486,15396.601,15985.623,3712.738,724.772,2987.965,0,510.319,172.023,93.722,615.049,0,3552.752,5906.331,1676.964,90.875,679.954,857.425,0,3125.506,0,0,0,2063.622,7375.363,4049.853,3422.05,1461.84,470.86,488.87,113.54,22.17,91.38,0,15.61,5.26,2.87,18.81,0,108.65,180.63,51.26,2.78,20.79,26.22,0,95.58,0,0,0,63.11,225.55,123.85
13409,2,4,METRO,U,2,15615.93,0,388.491,6026.403,1197.161,880.35,316.811,471.154,376.269,70.854,68.797,873.634,0,3143.575,1799.632,365.943,82.357,427.894,18.649,0,0,0,0,0,0,0,753.416,53281.552,0,1325.532,20562.088,4084.712,3003.753,1080.959,1607.578,1283.831,241.753,234.735,2980.838,0,10725.878,6140.343,1248.598,281.002,1459.976,63.631,0,0,0,0,0,0,0,2570.657,1880.32,0,46.78,725.64,144.15,106,38.15,56.73,45.31,8.53,8.28,105.19,0,378.52,216.69,44.01,9.91,51.52,2.25,0,0,0,0,0,0,0,90.72
13410,4,10,METRO,U,2,11595.383,9016.604,394.649,0,238.394,238.394,0,0,0,209.592,0,0,0,492.107,416.673,178.804,36.531,0,0,0,17.504,0,0,0,0,0,809.86,39563.448,30764.654,1346.542,0,813.4,813.4,0,0,0,715.129,0,0,0,1679.07,1421.687,610.079,124.644,0,0,0,59.725,0,0,0,0,0,2763.241,734.53,571.17,25,0,15.1,15.1,0,0,0,13.28,0,0,0,31.17,26.39,11.31,2.31,0,0,0,1.11,0,0,0,0,0,51.3
13411,4,9,METRO,U,3,17177.161,0,9239.204,0,437.766,437.766,0,0,0,145.975,94.55,1200.958,127.674,1075.504,829.778,192.016,77.538,91.053,509.325,0,809.956,0,0,1764.644,0,0,850.775,58608.474,0,31524.164,0,1493.659,1493.659,0,0,0,498.068,322.603,4097.67,435.623,3669.618,2831.202,655.159,264.56,310.672,1737.816,0,2763.571,0,0,6020.964,0,0,2902.844,1700.35,0,914.58,0,43.33,43.33,0,0,0,14.45,9.36,118.88,12.64,106.46,82.14,19.01,7.68,9.01,50.42,0,80.18,0,0,174.68,0,0,84.22
13412,1,2,METRO,U,4,2913,0,519.402,0,584.458,584.458,0,0,0,38.805,0,0,0,665.414,520.771,285.853,0,0,0,0,0,0,0,0,0,0,584.151,9939.156,0,1772.199,0,1994.17,1994.17,0,0,0,132.402,0,0,0,2270.392,1776.871,975.33,0,0,0,0,0,0,0,0,0,0,1993.122,772.33,0,137.71,0,154.96,154.96,0,0,0,10.29,0,0,0,176.42,138.07,75.79,0,0,0,0,0,0,0,0,0,0,154.88
13413,3,6,METRO,U,2,12218.618,0,3658.089,3330.651,490.012,490.012,0,0,0,50.364,42.991,866.815,97.756,1311.092,333.462,52.825,0,268.209,182.466,0,922.108,0,0,0,0,0,664.604,41689.923,0,12481.4,11364.18,1671.921,1671.921,0,0,0,171.842,146.684,2957.571,333.544,4473.446,1137.771,180.239,0,915.128,622.575,0,3146.234,0,0,0,0,0,2267.628,1377.87,0,412.52,375.59,55.26,55.26,0,0,0,5.68,4.85,97.75,11.02,147.85,37.6,5.96,0,30.25,20.58,0,103.98,0,0,0,0,0,74.95
13414,1,2,METRO,U,3,8590,0,3562.854,0,1707.991,377.964,664.168,0,0,144.812,65.105,0,71.223,1693.705,198.113,110.884,52.77,52.831,0,0,343.722,0,0,0,0,0,749.644,29310,0,12156.458,0,5827.665,1289.613,2266.141,0,0,494.099,222.138,0,243.013,5778.921,675.962,378.336,180.051,180.259,0,0,1172.779,0,0,0,0,0,2557.785,1458,0,604.73,0,289.9,64.15,112.73,0,0,24.58,11.05,0,12.09,287.48,33.63,18.82,8.96,8.97,0,0,58.34,0,0,0,0,0,127.24
13415,1,2,METRO,U,2,2718.298,0,306.947,0,458.822,458.822,0,0,0,196.165,27.525,0,33.578,298.232,512.035,130.218,44.524,66.272,14.721,0,124.95,0,215.384,0,0,0,463.666,9274.832,0,1047.303,0,1565.502,1565.502,0,0,0,669.315,93.914,0,114.57,1017.567,1747.065,444.304,151.916,226.119,50.228,0,426.329,0,734.891,0,0,0,1582.029,530.66,0,59.92,0,89.57,89.57,0,0,0,38.29,5.37,0,6.56,58.22,99.96,25.25,8.63,12.94,2.87,0,24.39,0,42.05,0,0,0,90.52
13416,1,2,METRO,U,2,14297.148,0,1248.932,0,907.954,487.515,420.439,0,297.438,221.454,167.696,2121.558,145.221,3617.829,905.975,105.137,37.395,321.684,62.91,0,63.33,2353.083,920.389,0,0,0,941.693,48781.868,0,4261.357,0,3097.937,1663.401,1434.537,0,1014.859,755.602,572.177,7238.757,495.495,12344.034,3091.188,358.727,127.592,1097.587,214.648,0,216.081,8028.72,3140.368,0,0,0,3213.056,2026.51,0,177.03,0,128.7,69.1,59.59,0,42.16,31.39,23.77,300.71,20.58,512.8,128.41,14.9,5.3,45.6,8.92,0,8.98,333.53,130.46,0,0,0,133.48
13417,3,5,METRO,U,2,11105.129,499.333,3222.287,2827.223,461.911,461.911,0,0,268.12,340.683,136.872,1527.923,0,277.187,338.376,101.907,0,8.212,136.179,0,27.701,165.984,0,0,0,0,867.137,37890.7,1703.723,10994.445,9646.486,1576.042,1576.042,0,0,914.826,1162.411,467.007,5213.274,0,945.761,1154.54,347.707,0,28.018,464.644,0,94.517,566.336,0,0,0,0,2958.671,1106.72,49.76,321.13,281.76,46.03,46.03,0,0,26.72,33.95,13.64,152.27,0,27.62,33.72,10.16,0,0.82,13.57,0,2.76,16.54,0,0,0,0,86.42
13418,2,4,MICRO,C,4,8057,3607.945,0,0,705.123,705.123,0,832.394,44.768,49.494,99.539,1012.791,0,315.953,247.716,84.762,16.211,33.126,0,0,17.373,0,0,0,0,0,1090.779,27491,12310.308,0,0,2405.88,2405.88,0,2840.128,152.748,168.874,339.627,3455.643,0,1078.032,845.207,289.208,55.312,113.026,0,0,59.277,0,0,0,0,0,3721.738,1187,531.54,0,0,103.88,103.88,0,122.63,6.6,7.29,14.66,149.21,0,46.55,36.49,12.49,2.39,4.88,0,0,2.56,0,0,0,0,0,160.7
13419,2,3,METRO,U,2,4701.882,0,670.81,0,460.286,460.286,0,0,234.849,146.515,62.785,0,93.905,459.696,305.537,188.395,0,280.745,38.101,0,16.363,1023.912,167.486,0,0,0,740.893,16042.823,0,2288.802,0,1570.497,1570.497,0,0,801.304,499.908,214.223,0,320.403,1568.484,1042.493,642.804,0,957.901,130,0,55.832,3493.587,571.461,0,0,0,2527.926,663.87,0,94.71,0,64.99,64.99,0,0,33.16,20.69,8.86,0,13.26,64.91,43.14,26.6,0,39.64,5.38,0,2.31,144.57,23.65,0,0,0,104.61
13420,2,3,METRO,C,5,5765.612,830.623,111.984,2228.492,330.488,330.488,0,0,19.866,470.969,0,0,61.761,436.162,422.74,268.116,0,0,0,0,163.905,0,0,0,0,0,688.622,19672.269,2834.087,382.09,7603.615,1127.625,1127.625,0,0,67.783,1606.945,0,0,210.727,1488.185,1442.389,914.812,0,0,0,0,559.244,0,0,0,0,0,2349.578,766.49,110.42,14.89,296.26,43.94,43.94,0,0,2.64,62.61,0,0,8.21,57.98,56.2,35.53,0,0,0,0,21.79,0,0,0,0,0,91.55
13421,4,10,METRO,R,1,17039.462,0,133.789,7548.979,549.94,549.94,0,517.385,132.742,84.982,131.307,1330.518,0,630.964,472.433,228.454,0,0,0,0,0,0,0,0,0,0,5506.423,58138.644,0,456.487,25757.115,1876.397,1876.397,0,1765.319,452.916,289.958,448.021,4539.727,0,2152.85,1611.94,779.485,0,0,0,0,0,0,0,0,0,0,18787.914,1789.4,0,14.05,792.76,57.75,57.75,0,54.33,13.94,8.92,13.79,139.72,0,66.26,49.61,23.99,0,0,0,0,0,0,0,0,0,0,578.26
13422,4,10,METRO,R,2,23640.524,5883.005,394.466,12520.752,652.87,609.323,43.547,292.939,565.602,20.299,90.603,1451.559,98.537,655.422,103.092,16.191,0,179.642,19.964,0,0,0,0,0,0,0,711.771,80661.469,20072.813,1345.917,42720.807,2227.594,2079.01,148.584,999.509,1929.833,69.261,309.136,4952.72,336.21,2236.301,351.749,55.244,0,612.937,68.119,0,0,0,0,0,0,0,2428.563,2398.51,596.87,40.02,1270.32,66.24,61.82,4.42,29.72,57.38,2.06,9.19,147.27,10,66.5,10.46,1.64,0,18.23,2.03,0,0,0,0,0,0,0,72.21
13423,3,5,METRO,U,2,4205.181,28.393,483.843,0,265.577,265.577,0,0,749.617,0,31.818,770.523,58.123,662.037,186.597,142.141,0,53.029,28.497,0,121.845,0,0,0,0,0,765.282,14348.078,96.877,1650.873,0,906.148,906.148,0,0,2557.692,0,108.562,2629.024,198.317,2258.871,636.669,484.985,0,180.936,97.232,0,415.735,0,0,0,0,0,2611.142,679.03,4.58,78.13,0,42.88,42.88,0,0,121.04,0,5.14,124.42,9.39,106.9,30.13,22.85,0,8.56,4.6,0,19.67,0,0,0,0,0,123.57
13424,1,2,METRO,C,1,12240.149,0,615.93,4578.877,556.953,556.953,0,382.683,95.885,434.593,69.256,1111.043,131.979,1989.556,1090.297,695.816,14.859,131.101,24.682,0,252.695,0,0,0,0,0,774.617,41763.388,0,2101.554,15623.129,1900.325,1900.325,0,1305.713,327.161,1482.833,236.302,3790.879,450.312,6788.365,3720.094,2374.124,50.699,447.315,84.214,0,862.196,0,0,0,0,0,2642.995,1703.96,0,85.74,637.43,77.53,77.53,0,53.27,13.35,60.5,9.64,154.67,18.37,276.97,151.78,96.72,2.07,18.25,3.44,0,35.18,0,0,0,0,0,107.84
